STRATA,CLUSTER,W,multi,multi3,s5,SEX,SCHOOL,br2,ca,sw,ze,fa,ve,mi,ni,wa,fr,sleep,str_d,M_SAD,esrcrd_r,ese_r,F_BR,br
2025_64,1.0,77.26995562194232,0.0,0.0,0.0,1.0,중학교,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0
2025_64,1.0,76.04961500154236,0.0,0.0,1.0,2.0,중학교,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,5.0,1.0
2025_64,1.0,76.04961500154236,0.0,0.0,0.0,2.0,중학교,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,5.0,2.0,0.0
2025_64,1.0,76.04961500154236,0.0,0.0,0.0,2.0,중학교,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,4.0,3.0,1.0
2025_64,1.0,77.26995562194232,0.0,0.0,,1.0,중학교,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,3.0,1.0,0.0
2025_64,1.0,81.72816147543826,0.0,0.0,0.0,2.0,중학교,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0
2025_64,1.0,85.35839812645774,0.0,0.0,0.0,1.0,중학교,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,5.0,8.0,1.0
2025_64,1.0,85.35839812645774,0.0,0.0,0.0,1.0,중학교,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0
2025_64,1.0,81.72816147543826,0.0,0.0,0.0,2.0,중학교,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,8.0,1.0
2025_64,1.0,85.35839812645774,0.0,0.0,0.0,1.0,중학교,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0
2025_64,1.0,85.35839812645774,0.0,0.0,0.0,1.0,중학교,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,4.0,8.0,1.0
2025_64,1.0,81.72816147543826,0.0,0.0,1.0,2.0,중학교,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,5.0,3.0,4.0,1.0
2025_64,1.0,81.72816147543826,0.0,0.0,0.0,2.0,중학교,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,8.0,1.0
2025_64,1.0,85.35839812645774,0.0,0.0,0.0,1.0,중학교,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,4.0,8.0,1.0
2025_64,1.0,85.35839812645774,0.0,0.0,1.0,1.0,중학교,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,6.0,1.0
2025_64,1.0,81.72816147543826,0.0,0.0,1.0,2.0,중학교,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0,8.0,1.0
2025_64,1.0,81.72816147543826,0.0,0.0,1.0,2.0,중학교,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,8.0,1.0
2025_64,1.0,85.35839812645774,0.0,0.0,0.0,1.0,중학교,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,3.0,8.0,1.0
2025_64,1.0,81.72816147543826,0.0,0.0,0.0,2.0,중학교,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0
2025_64,1.0,81.72816147543826,0.0,0.0,0.0,2.0,중학교,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,3.0,6.0,1.0
2025_64,1.0,85.35839812645774,0.0,0.0,1.0,1.0,중학교,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,1.0,0.0
2025_64,1.0,81.72816147543826,0.0,0.0,0.0,2.0,중학교,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,4.0,5.0,1.0
2025_64,1.0,81.72816147543826,0.0,0.0,1.0,2.0,중학교,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,4.0,8.0,1.0
2025_64,1.0,81.72816147543826,0.0,0.0,1.0,2.0,중학교,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,5.0,4.0,1.0
2025_64,1.0,85.35839812645774,0.0,0.0,0.0,1.0,중학교,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,4.0,4.0,1.0
2025_64,1.0,85.35839812645774,0.0,0.0,1.0,1.0,중학교,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,4.0,8.0,1.0
2025_64,1.0,81.72816147543826,0.0,0.0,1.0,2.0,중학교,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,4.0,5.0,1.0
2025_64,1.0,85.35839812645774,0.0,0.0,1.0,1.0,중학교,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,5.0,8.0,1.0
2025_64,1.0,85.35839812645774,0.0,0.0,0.0,1.0,중학교,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,8.0,1.0
2025_64,1.0,81.72816147543826,0.0,0.0,1.0,2.0,중학교,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,4.0,1.0,0.0
2025_64,1.0,81.72816147543826,0.0,0.0,1.0,2.0,중학교,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,1.0
2025_64,1.0,85.35839812645774,0.0,0.0,1.0,1.0,중학교,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,1.0
2025_64,1.0,74.35958970824416,0.0,0.0,1.0,2.0,중학교,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,4.0,7.0,1.0
2025_64,1.0,81.5232474957567,0.0,0.0,0.0,1.0,중학교,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,3.0,7.0,1.0
2025_64,1.0,81.5232474957567,0.0,0.0,1.0,1.0,중학교,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,4.0,1.0
2025_64,1.0,81.5232474957567,0.0,0.0,0.0,1.0,중학교,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,6.0,1.0
2025_64,1.0,74.35958970824416,0.0,0.0,0.0,2.0,중학교,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,4.0,3.0,1.0
2025_64,1.0,74.35958970824416,0.0,0.0,1.0,2.0,중학교,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,6.0,1.0
2025_64,1.0,81.5232474957567,0.0,0.0,0.0,1.0,중학교,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,4.0,7.0,1.0
2025_64,1.0,74.35958970824416,0.0,0.0,1.0,2.0,중학교,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,6.0,1.0
2025_64,1.0,81.5232474957567,0.0,0.0,0.0,1.0,중학교,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0,6.0,1.0
2025_64,1.0,81.5232474957567,0.0,0.0,1.0,1.0,중학교,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,4.0,4.0,1.0
2025_64,1.0,81.5232474957567,0.0,0.0,1.0,1.0,중학교,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,5.0,1.0
2025_64,1.0,81.5232474957567,0.0,0.0,0.0,1.0,중학교,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,1.0,0.0
2025_64,1.0,74.35958970824416,0.0,0.0,0.0,2.0,중학교,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,8.0,1.0
2025_64,1.0,81.5232474957567,0.0,0.0,0.0,1.0,중학교,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,5.0,8.0,1.0
2025_64,1.0,74.35958970824416,0.0,0.0,0.0,2.0,중학교,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,1.0,0.0
2025_64,1.0,81.5232474957567,0.0,0.0,0.0,1.0,중학교,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,4.0,8.0,1.0
2025_64,1.0,74.35958970824416,0.0,0.0,0.0,2.0,중학교,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,2.0,8.0,1.0
2025_64,1.0,81.5232474957567,0.0,0.0,1.0,1.0,중학교,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,1.0
2025_64,1.0,81.5232474957567,0.0,0.0,0.0,1.0,중학교,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,3.0,1.0,0.0
2025_64,1.0,74.35958970824416,0.0,0.0,0.0,2.0,중학교,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,4.0,8.0,1.0
2025_64,1.0,81.5232474957567,0.0,0.0,1.0,1.0,중학교,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0
2025_64,1.0,81.5232474957567,0.0,0.0,1.0,1.0,중학교,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,3.0,7.0,1.0
2025_64,1.0,74.35958970824416,0.0,0.0,0.0,2.0,중학교,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,4.0,5.0,1.0
2025_64,1.0,74.35958970824416,0.0,0.0,1.0,2.0,중학교,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,7.0,1.0
2025_64,1.0,74.35958970824416,0.0,0.0,0.0,2.0,중학교,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,8.0,1.0
2025_64,1.0,74.35958970824416,0.0,0.0,0.0,2.0,중학교,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,2.0,8.0,1.0
2025_64,1.0,74.35958970824416,0.0,0.0,0.0,2.0,중학교,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,5.0,8.0,1.0
2025_64,1.0,74.35958970824416,0.0,0.0,1.0,2.0,중학교,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,0.0
2025_64,1.0,81.5232474957567,0.0,0.0,0.0,1.0,중학교,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,8.0,1.0
2025_64,1.0,74.35958970824416,1.0,1.0,0.0,2.0,중학교,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,4.0,1.0
2025_64,1.0,74.35958970824416,0.0,0.0,1.0,2.0,중학교,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,1.0
2025_64,2.0,32.198425706298174,0.0,0.0,0.0,2.0,중학교,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,4.0,1.0
2025_64,2.0,32.198425706298174,0.0,0.0,1.0,2.0,중학교,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,4.0,8.0,1.0
2025_64,2.0,32.198425706298174,0.0,0.0,1.0,2.0,중학교,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,4.0,7.0,1.0
2025_64,2.0,32.198425706298174,0.0,0.0,0.0,2.0,중학교,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,4.0,1.0,0.0
2025_64,2.0,32.715102178644926,0.0,0.0,0.0,1.0,중학교,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,8.0,1.0
2025_64,2.0,32.198425706298174,0.0,0.0,0.0,2.0,중학교,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,7.0,1.0
2025_64,2.0,32.715102178644926,0.0,0.0,1.0,1.0,중학교,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,3.0,8.0,1.0
2025_64,2.0,32.715102178644926,0.0,0.0,0.0,1.0,중학교,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,5.0,8.0,1.0
2025_64,2.0,32.198425706298174,0.0,0.0,1.0,2.0,중학교,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,5.0,4.0,1.0,0.0
2025_64,2.0,32.715102178644926,0.0,0.0,1.0,1.0,중학교,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,1.0
2025_64,2.0,32.198425706298174,0.0,0.0,1.0,2.0,중학교,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,3.0,7.0,1.0
2025_64,2.0,32.715102178644926,0.0,0.0,0.0,1.0,중학교,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,0.0
2025_64,2.0,32.198425706298174,0.0,0.0,1.0,2.0,중학교,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,4.0,2.0,0.0
2025_64,2.0,32.198425706298174,0.0,0.0,1.0,2.0,중학교,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0
2025_64,2.0,32.715102178644926,0.0,0.0,0.0,1.0,중학교,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0
2025_64,2.0,32.198425706298174,0.0,0.0,0.0,2.0,중학교,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,5.0,1.0,0.0
2025_64,2.0,32.51111401995177,0.0,0.0,0.0,1.0,중학교,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,5.0,8.0,1.0
2025_64,2.0,32.51111401995177,0.0,0.0,0.0,1.0,중학교,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,8.0,1.0
2025_64,2.0,31.12843767794905,0.0,0.0,1.0,2.0,중학교,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0,6.0,1.0
2025_64,2.0,31.12843767794905,0.0,0.0,0.0,2.0,중학교,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,6.0,1.0
2025_64,2.0,32.51111401995177,0.0,0.0,0.0,1.0,중학교,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,8.0,1.0
2025_64,2.0,32.51111401995177,0.0,0.0,0.0,1.0,중학교,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,4.0,6.0,1.0
2025_64,2.0,32.51111401995177,0.0,0.0,1.0,1.0,중학교,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,4.0,7.0,1.0
2025_64,2.0,31.12843767794905,0.0,0.0,1.0,2.0,중학교,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0
2025_64,2.0,32.51111401995177,0.0,0.0,0.0,1.0,중학교,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,7.0,1.0
2025_64,2.0,31.12843767794905,0.0,0.0,0.0,2.0,중학교,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,4.0,7.0,1.0
2025_64,2.0,31.12843767794905,0.0,0.0,1.0,2.0,중학교,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,6.0,1.0
2025_64,2.0,31.12843767794905,0.0,0.0,0.0,2.0,중학교,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0
2025_64,2.0,32.51111401995177,0.0,0.0,0.0,1.0,중학교,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,1.0,0.0
2025_64,2.0,32.51111401995177,0.0,0.0,0.0,1.0,중학교,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,5.0,2.0,0.0
2025_64,2.0,32.51111401995177,0.0,0.0,1.0,1.0,중학교,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,8.0,1.0
2025_64,2.0,31.12843767794905,0.0,0.0,1.0,2.0,중학교,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.0
2025_64,2.0,31.12843767794905,0.0,0.0,0.0,2.0,중학교,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,4.0,8.0,1.0
2025_64,2.0,32.51111401995177,0.0,0.0,1.0,1.0,중학교,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0,3.0,1.0
2025_64,2.0,32.51111401995177,0.0,0.0,1.0,1.0,중학교,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0
2025_64,2.0,32.51111401995177,0.0,0.0,1.0,1.0,중학교,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,3.0,7.0,1.0
2025_64,2.0,31.12843767794905,0.0,0.0,1.0,2.0,중학교,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,3.0,1.0,0.0
2025_64,2.0,31.12843767794905,0.0,0.0,1.0,2.0,중학교,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0
2025_64,2.0,28.37776008752121,0.0,0.0,0.0,2.0,중학교,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,3.0,1.0
2025_64,2.0,31.111618125748063,0.0,0.0,0.0,1.0,중학교,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,8.0,1.0
2025_64,2.0,31.111618125748063,0.0,0.0,0.0,1.0,중학교,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0,7.0,1.0
2025_64,2.0,31.111618125748063,0.0,0.0,1.0,1.0,중학교,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,4.0,8.0,1.0
2025_64,2.0,28.37776008752121,0.0,0.0,0.0,2.0,중학교,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,4.0,1.0,0.0
